epoch,step,test_dsc,test_loss,train_dsc,train_loss,val_dsc,val_loss
0,0,0.7459486126899719,0.5299232602119446,,,,
0,49,,,0.8993251323699951,0.34669029712677,,
0,49,,,,,0.8344117999076843,0.330814003944397
1,99,,,0.9297072887420654,0.28695210814476013,,
1,99,,,,,0.7866988778114319,0.3636977970600128
2,149,,,0.9223970770835876,0.2914770543575287,,
2,149,,,,,0.8124122619628906,0.3497626483440399
3,199,,,0.941982626914978,0.189763605594635,,
3,199,,,,,0.7835090756416321,0.36906179785728455
4,249,,,0.9487907886505127,0.20458774268627167,,
4,249,,,,,0.7948870062828064,0.36231574416160583
5,299,,,0.9554601907730103,0.2039017528295517,,
5,299,,,,,0.8133325576782227,0.3594585657119751
6,349,,,0.9321569204330444,0.2788490355014801,,
6,349,,,,,0.7719249725341797,0.39171624183654785
7,399,,,0.9700343012809753,0.2018408477306366,,
7,399,,,,,0.786656379699707,0.37797990441322327
8,449,,,0.9604114890098572,0.23808476328849792,,
8,449,,,,,0.7896580100059509,0.37548089027404785
9,499,,,0.9504978656768799,0.2892281413078308,,
9,499,,,,,0.7901579141616821,0.3754886984825134
10,549,,,0.9615989327430725,0.2430785894393921,,
10,549,,,,,0.7900837063789368,0.3777492046356201
11,599,,,0.944439172744751,0.2268308401107788,,
11,599,,,,,0.7905107140541077,0.3772951066493988
12,649,,,0.9578936696052551,0.15962184965610504,,
12,649,,,,,0.786908745765686,0.3803756535053253
13,699,,,0.967879593372345,0.21667523682117462,,
13,699,,,,,0.7867097854614258,0.3802907466888428
14,749,,,0.9603272676467896,0.22932469844818115,,
14,749,,,,,0.7869762778282166,0.38023361563682556
15,799,,,0.9547235369682312,0.27877143025398254,,
15,799,,,,,0.7867135405540466,0.38025107979774475
16,849,,,0.9676880836486816,0.2632713317871094,,
16,849,,,,,0.7867580056190491,0.3801744878292084
17,899,,,0.9675223231315613,0.21984529495239258,,
17,899,,,,,0.7864620685577393,0.3806381821632385
18,949,,,0.9636693596839905,0.30896538496017456,,
18,949,,,,,0.7861372232437134,0.3808484971523285
19,999,,,0.9454717636108398,0.2236236184835434,,
19,999,,,,,0.7860412001609802,0.38088011741638184
20,1049,,,0.9611735939979553,0.22348076105117798,,
20,1049,,,,,0.7861875891685486,0.38075271248817444
21,1099,,,0.9673252701759338,0.21309509873390198,,
21,1099,,,,,0.7865005135536194,0.38049373030662537
22,1149,,,0.9690935015678406,0.26214808225631714,,
22,1149,,,,,0.7866804003715515,0.3803466260433197
23,1199,,,0.9718499183654785,0.2233193963766098,,
23,1199,,,,,0.7867616415023804,0.38027170300483704
24,1249,,,0.9655640721321106,0.2195822298526764,,
24,1249,,,,,0.7867885231971741,0.3801974952220917
25,1299,,,0.9647026062011719,0.17323079705238342,,
25,1299,,,,,0.7867960929870605,0.38019677996635437
26,1349,,,0.9697017669677734,0.29376986622810364,,
26,1349,,,,,0.7867807745933533,0.3802090883255005
27,1399,,,0.9649356603622437,0.25527697801589966,,
27,1399,,,,,0.7867696285247803,0.38023272156715393
28,1449,,,0.9669898152351379,0.20942914485931396,,
28,1449,,,,,0.786713719367981,0.3802582621574402
29,1499,,,0.9659148454666138,0.2643183469772339,,
29,1499,,,,,0.7867348194122314,0.380278080701828
30,1549,,,0.9729260802268982,0.20625461637973785,,
30,1549,,,,,0.7867452502250671,0.3802447021007538
31,1599,,,0.9714571833610535,0.25983884930610657,,
31,1599,,,,,0.7867606282234192,0.3802390694618225
32,1649,,,0.9566853046417236,0.35230422019958496,,
32,1649,,,,,0.786748468875885,0.38024166226387024
33,1699,,,0.9608060717582703,0.23112431168556213,,
33,1699,,,,,0.7867587208747864,0.3802424371242523
34,1749,,,0.9685948491096497,0.2438269853591919,,
34,1749,,,,,0.7867452502250671,0.38024213910102844
35,1799,,,0.9721063375473022,0.1550453156232834,,
35,1799,,,,,0.786755383014679,0.3802437484264374
36,1849,,,0.9684861302375793,0.14436887204647064,,
36,1849,,,,,0.7867555618286133,0.38024431467056274
37,1899,,,0.9657159447669983,0.22447074949741364,,
37,1899,,,,,0.7867554426193237,0.3802473545074463
38,1949,,,0.9719552397727966,0.22911608219146729,,
38,1949,,,,,0.7867672443389893,0.38024306297302246
39,1999,,,0.9671318531036377,0.21643610298633575,,
39,1999,,,,,0.7867603302001953,0.38024085760116577
