epoch,step,test_dsc,test_loss,train_dsc,train_loss,val_dsc,val_loss
0,0,0.7459486722946167,0.5299232006072998,,,,
0,49,,,0.8194631934165955,0.45503997802734375,,
0,49,,,,,0.8486230373382568,0.33808550238609314
1,99,,,0.8355590105056763,0.42085838317871094,,
1,99,,,,,0.8568850159645081,0.3426772952079773
2,149,,,0.8507916331291199,0.5062668919563293,,
2,149,,,,,0.8177884221076965,0.3609161674976349
3,199,,,0.8138750195503235,0.5012990236282349,,
3,199,,,,,0.8229267001152039,0.35159438848495483
4,249,,,0.9026614427566528,0.4510326683521271,,
4,249,,,,,0.823857307434082,0.35216984152793884
5,299,,,0.8939852714538574,0.4009550213813782,,
5,299,,,,,0.7789530754089355,0.38363853096961975
6,349,,,0.8797755241394043,0.46219682693481445,,
6,349,,,,,0.7980387806892395,0.36742228269577026
7,399,,,0.8802979588508606,0.46357831358909607,,
7,399,,,,,0.8234965205192566,0.34968918561935425
8,449,,,0.8804490566253662,0.489188551902771,,
8,449,,,,,0.8221127390861511,0.3509521484375
9,499,,,0.916954755783081,0.4106389582157135,,
9,499,,,,,0.8322539925575256,0.344716876745224
10,549,,,0.8674431443214417,0.47481822967529297,,
10,549,,,,,0.8104258179664612,0.3570765256881714
11,599,,,0.9077913761138916,0.3312270939350128,,
11,599,,,,,0.8197196125984192,0.3520253300666809
12,649,,,0.8970029950141907,0.4415932297706604,,
12,649,,,,,0.8244940638542175,0.34965598583221436
13,699,,,0.9219693541526794,0.4522964358329773,,
13,699,,,,,0.8202682733535767,0.3517948091030121
14,749,,,0.8946172595024109,0.4638316333293915,,
14,749,,,,,0.8223916292190552,0.35023394227027893
15,799,,,0.9202178120613098,0.4456564784049988,,
15,799,,,,,0.8229100108146667,0.34980714321136475
16,849,,,0.8622021079063416,0.4793068468570709,,
16,849,,,,,0.8214063048362732,0.3507719039916992
17,899,,,0.8979706764221191,0.3727746605873108,,
17,899,,,,,0.8215693235397339,0.35057786107063293
18,949,,,0.9041659235954285,0.38503801822662354,,
18,949,,,,,0.8239315748214722,0.3490702211856842
19,999,,,0.9100752472877502,0.3565899133682251,,
19,999,,,,,0.8235620856285095,0.34940919280052185
20,1049,,,0.9080899953842163,0.4228888750076294,,
20,1049,,,,,0.8229953050613403,0.3497229516506195
21,1099,,,0.9088586568832397,0.30864253640174866,,
21,1099,,,,,0.8222015500068665,0.3501189351081848
22,1149,,,0.9165619015693665,0.44293394684791565,,
22,1149,,,,,0.8221380710601807,0.35016146302223206
23,1199,,,0.9238786697387695,0.4656655788421631,,
23,1199,,,,,0.8218406438827515,0.35031288862228394
24,1249,,,0.9018366932868958,0.42060476541519165,,
24,1249,,,,,0.821453332901001,0.3505461513996124
25,1299,,,0.9140567779541016,0.3537781238555908,,
25,1299,,,,,0.821479082107544,0.35053232312202454
26,1349,,,0.8644869327545166,0.3875952363014221,,
26,1349,,,,,0.8214320540428162,0.35055527091026306
27,1399,,,0.9074633121490479,0.555794358253479,,
27,1399,,,,,0.821384847164154,0.3505818843841553
28,1449,,,0.9142707586288452,0.3693380355834961,,
28,1449,,,,,0.8213515281677246,0.35060861706733704
29,1499,,,0.9069719910621643,0.4021647870540619,,
29,1499,,,,,0.8213861584663391,0.3505847752094269
30,1549,,,0.8895492553710938,0.39025336503982544,,
