epoch,step,train_dsc,train_loss,val_dsc,val_loss
0,49,0.8493891954421997,0.2583558261394501,,
0,49,,,0.8656421303749084,0.34006333351135254
1,99,0.8576353788375854,0.25553619861602783,,
1,99,,,0.873652458190918,0.3425779342651367
2,149,0.8340882062911987,0.38023507595062256,,
2,149,,,0.8624432682991028,0.3387470543384552
3,199,0.8769843578338623,0.3954921066761017,,
3,199,,,0.8261221051216125,0.36272966861724854
4,249,0.8884473443031311,0.31873658299446106,,
4,249,,,0.832436740398407,0.35665377974510193
5,299,0.8912918567657471,0.32597583532333374,,
5,299,,,0.8625184297561646,0.3389040529727936
6,349,0.8036382794380188,0.4057718515396118,,
6,349,,,0.8530148863792419,0.34430184960365295
7,399,0.8819485306739807,0.29401665925979614,,
7,399,,,0.8726940155029297,0.3401359021663666
8,449,0.8630967140197754,0.3896404206752777,,
8,449,,,0.8703423142433167,0.335475355386734
9,499,0.8739900588989258,0.21583245694637299,,
9,499,,,0.8662810325622559,0.33887848258018494
10,549,0.8868106603622437,0.33169955015182495,,
10,549,,,0.8690136075019836,0.3384573459625244
11,599,0.8554323315620422,0.3228272497653961,,
11,599,,,0.8773306012153625,0.3295171558856964
12,649,0.9026596546173096,0.33788472414016724,,
12,649,,,0.866347074508667,0.3359096348285675
13,699,0.8580524921417236,0.37766119837760925,,
13,699,,,0.862749457359314,0.33849698305130005
14,749,0.8684366941452026,0.29187607765197754,,
14,749,,,0.8728059530258179,0.3340790271759033
15,799,0.9109787940979004,0.33564651012420654,,
15,799,,,0.8731158375740051,0.3322024643421173
16,849,0.9035603404045105,0.28640106320381165,,
16,849,,,0.8628926873207092,0.34104177355766296
17,899,0.8603836297988892,0.40887826681137085,,
17,899,,,0.8654118776321411,0.33753180503845215
18,949,0.9168798327445984,0.19013573229312897,,
18,949,,,0.8886054754257202,0.3239556849002838
19,999,0.9285447001457214,0.2248549610376358,,
19,999,,,0.8881283402442932,0.3226340115070343
20,1049,0.8818750977516174,0.2612316906452179,,
20,1049,,,0.8906444907188416,0.3215440511703491
21,1099,0.8913900256156921,0.34380042552948,,
21,1099,,,0.890084445476532,0.3218421936035156
22,1149,0.8742353320121765,0.3789554238319397,,
22,1149,,,0.8903971314430237,0.32134827971458435
23,1199,0.9111694693565369,0.27920815348625183,,
23,1199,,,0.891392707824707,0.32080885767936707
24,1249,0.9079856276512146,0.23915839195251465,,
24,1249,,,0.8933084607124329,0.32098039984703064
25,1299,0.8841666579246521,0.359783798456192,,
25,1299,,,0.8930266499519348,0.32057565450668335
26,1349,0.8996739983558655,0.36108726263046265,,
26,1349,,,0.8926240801811218,0.3203194737434387
27,1399,0.864729642868042,0.3660035729408264,,
27,1399,,,0.8897621631622314,0.3208423852920532
28,1449,0.8637332916259766,0.3445630669593811,,
28,1449,,,0.895542562007904,0.3201030194759369
29,1499,0.8349854946136475,0.3782214820384979,,
29,1499,,,0.8945180773735046,0.3192134201526642
30,1549,0.8997258543968201,0.33699074387550354,,
30,1549,,,0.8943485021591187,0.3196394443511963
31,1599,0.8863075375556946,0.3078533411026001,,
31,1599,,,0.8943620920181274,0.3185234069824219
32,1649,0.8707303404808044,0.31347718834877014,,
32,1649,,,0.8942220211029053,0.3194078505039215
33,1699,0.8895271420478821,0.29016438126564026,,
33,1699,,,0.8944520950317383,0.31905651092529297
34,1749,0.9076684713363647,0.3155149519443512,,
34,1749,,,0.8952271342277527,0.3187561333179474
35,1799,0.8826301693916321,0.29114648699760437,,
35,1799,,,0.8919987082481384,0.319600373506546
36,1849,0.9281761646270752,0.2488279491662979,,
36,1849,,,0.8947458267211914,0.31905075907707214
37,1899,0.9236090183258057,0.24928206205368042,,
37,1899,,,0.8955040574073792,0.3201521039009094
38,1949,0.8936182260513306,0.28674158453941345,,
38,1949,,,0.8960794806480408,0.3182900547981262
39,1999,0.8650462031364441,0.3936631679534912,,
39,1999,,,0.8966177701950073,0.3178533613681793
40,2049,0.9076368808746338,0.3179139494895935,,
40,2049,,,0.8964511156082153,0.3176169693470001
41,2099,0.9042948484420776,0.3241473436355591,,
41,2099,,,0.896565854549408,0.3175206482410431
42,2149,0.9182220697402954,0.1682332307100296,,
42,2149,,,0.8966107964515686,0.3175150454044342
43,2199,0.9239886999130249,0.316329687833786,,
43,2199,,,0.8967050313949585,0.31757721304893494
44,2249,0.8468965291976929,0.271969199180603,,
44,2249,,,0.8967801928520203,0.3175696134567261
45,2299,0.921227753162384,0.3787505030632019,,
45,2299,,,0.8970662355422974,0.3176867961883545
46,2349,0.92862468957901,0.3857448697090149,,
46,2349,,,0.8972691297531128,0.3175751268863678
47,2399,0.9036435484886169,0.3378540575504303,,
47,2399,,,0.8971968293190002,0.3175884187221527
48,2449,0.8913115859031677,0.28727567195892334,,
48,2449,,,0.8972333669662476,0.3175569176673889
49,2499,0.9069599509239197,0.348283588886261,,
49,2499,,,0.8972393870353699,0.3175690770149231
50,2549,0.9149223566055298,0.3634014427661896,,
50,2549,,,0.8972077369689941,0.3175536096096039
51,2599,0.8593766689300537,0.37479129433631897,,
51,2599,,,0.897216796875,0.31750309467315674
52,2649,0.9165529608726501,0.3161735236644745,,
52,2649,,,0.897175669670105,0.3174242675304413
53,2699,0.8664343953132629,0.35975101590156555,,
53,2699,,,0.8971682786941528,0.317396879196167
54,2749,0.9022103548049927,0.22620800137519836,,
54,2749,,,0.8971621990203857,0.3174128532409668
55,2799,0.9072880148887634,0.2247430980205536,,
55,2799,,,0.8971040844917297,0.3173607289791107
56,2849,0.8464162945747375,0.37096646428108215,,
56,2849,,,0.8971313238143921,0.3173852860927582
57,2899,0.9139152765274048,0.3392069935798645,,
57,2899,,,0.8971357345581055,0.3173521161079407
58,2949,0.8895577788352966,0.3579089641571045,,
58,2949,,,0.8971090912818909,0.3173447847366333
59,2999,0.9109727144241333,0.2711794972419739,,
59,2999,,,0.8971378803253174,0.31734082102775574
60,3049,0.9199927449226379,0.30436277389526367,,
60,3049,,,0.8971713781356812,0.317343533039093
