epoch,step,train_dsc,train_loss,val_dsc,val_loss
0,49,0.08451250195503235,1.4419665336608887,,
0,49,,,0.0766589343547821,1.4237775802612305
1,99,0.20699156820774078,0.9182527661323547,,
1,99,,,0.17918577790260315,0.911529541015625
2,149,0.42125481367111206,0.7338577508926392,,
2,149,,,0.42649179697036743,0.7320671677589417
3,199,0.5575063824653625,0.6303943991661072,,
3,199,,,0.6119009256362915,0.6101345419883728
4,249,0.7721647024154663,0.45566827058792114,,
4,249,,,0.7156508564949036,0.5210705995559692
5,299,0.6733703017234802,0.5314362049102783,,
5,299,,,0.7366034388542175,0.47814294695854187
6,349,0.7565248608589172,0.3962125778198242,,
6,349,,,0.7486787438392639,0.4556918144226074
7,399,0.7021595239639282,0.46612125635147095,,
7,399,,,0.7746110558509827,0.4343014657497406
8,449,0.7521613836288452,0.43661198019981384,,
8,449,,,0.721872091293335,0.4586338996887207
9,499,0.8142250776290894,0.45139822363853455,,
9,499,,,0.7728745341300964,0.41241130232810974
10,549,0.8506706953048706,0.2795456349849701,,
10,549,,,0.7690005898475647,0.42355644702911377
11,599,0.809255838394165,0.4698392152786255,,
11,599,,,0.7668827772140503,0.4149653911590576
12,649,0.7511166930198669,0.4175355136394501,,
12,649,,,0.7995718717575073,0.39637455344200134
13,699,0.8209983706474304,0.3771441876888275,,
13,699,,,0.7839282155036926,0.39914464950561523
14,749,0.8121913075447083,0.36956366896629333,,
14,749,,,0.8178638219833374,0.37305936217308044
15,799,0.7996860146522522,0.33006206154823303,,
15,799,,,0.807396411895752,0.38074055314064026
16,849,0.8082401752471924,0.3728049397468567,,
16,849,,,0.7882933020591736,0.38847407698631287
17,899,0.8163074254989624,0.378089964389801,,
17,899,,,0.8128222823143005,0.37884464859962463
18,949,0.83747398853302,0.37689483165740967,,
18,949,,,0.8001367449760437,0.37702256441116333
19,999,0.8171327710151672,0.43772590160369873,,
19,999,,,0.831046998500824,0.3612527847290039
20,1049,0.8530095815658569,0.43408310413360596,,
20,1049,,,0.8305694460868835,0.35781702399253845
21,1099,0.8795672059059143,0.22176474332809448,,
21,1099,,,0.8323140740394592,0.35771897435188293
22,1149,0.8971236348152161,0.30730193853378296,,
22,1149,,,0.8335827589035034,0.35471194982528687
23,1199,0.8580891489982605,0.35820186138153076,,
23,1199,,,0.8380482792854309,0.35969287157058716
24,1249,0.860156238079071,0.2889944016933441,,
24,1249,,,0.8395246267318726,0.34751197695732117
25,1299,0.8596638441085815,0.34629467129707336,,
25,1299,,,0.8258084654808044,0.35616907477378845
26,1349,0.841966986656189,0.30765199661254883,,
26,1349,,,0.8465145230293274,0.3445310592651367
27,1399,0.8112667798995972,0.3759247958660126,,
27,1399,,,0.8286025524139404,0.35631170868873596
28,1449,0.8291773200035095,0.320461243391037,,
28,1449,,,0.8375038504600525,0.34748905897140503
29,1499,0.8724142909049988,0.40310779213905334,,
29,1499,,,0.8478450775146484,0.34639739990234375
30,1549,0.8905674815177917,0.32090845704078674,,
30,1549,,,0.8254441022872925,0.35550910234451294
31,1599,0.8429128527641296,0.31641891598701477,,
31,1599,,,0.843481183052063,0.3477298319339752
32,1649,0.8853943943977356,0.3341945707798004,,
32,1649,,,0.8415685892105103,0.34367531538009644
33,1699,0.8859614729881287,0.30071914196014404,,
33,1699,,,0.8548687100410461,0.34118276834487915
34,1749,0.8914442658424377,0.36045390367507935,,
34,1749,,,0.8568910360336304,0.334717333316803
35,1799,0.8816297650337219,0.4415085017681122,,
35,1799,,,0.8269574046134949,0.3509301245212555
36,1849,0.8207594156265259,0.33075860142707825,,
36,1849,,,0.8577712178230286,0.3332921266555786
37,1899,0.8718529939651489,0.3473730683326721,,
37,1899,,,0.8512279987335205,0.33693239092826843
38,1949,0.8646354079246521,0.44606122374534607,,
38,1949,,,0.8402155637741089,0.341635137796402
39,1999,0.9101203680038452,0.34140098094940186,,
39,1999,,,0.8493093252182007,0.3390948474407196
40,2049,0.8984536528587341,0.36923205852508545,,
40,2049,,,0.8644669651985168,0.33002394437789917
41,2099,0.8904656171798706,0.2805001437664032,,
41,2099,,,0.8320810794830322,0.351301372051239
42,2149,0.8922399282455444,0.3141569495201111,,
42,2149,,,0.8485157489776611,0.33878931403160095
43,2199,0.8495739102363586,0.553392231464386,,
43,2199,,,0.8384628891944885,0.3441310226917267
44,2249,0.8683742880821228,0.3662168085575104,,
44,2249,,,0.8585619926452637,0.3324075937271118
45,2299,0.8806620836257935,0.34303534030914307,,
