epoch,step,test_dsc,test_loss,train_dsc,train_loss,val_dsc,val_loss
0,0,0.7459464073181152,0.529923141002655,,,,
0,49,,,0.9356845617294312,0.11709582805633545,,
0,49,,,,,0.813265323638916,0.3831924796104431
1,99,,,0.9547451138496399,0.08515502512454987,,
1,99,,,,,0.8032598495483398,0.3982572555541992
2,149,,,0.964016318321228,0.09177586436271667,,
2,149,,,,,0.8031697869300842,0.40629926323890686
3,199,,,0.9611078500747681,0.1137293130159378,,
3,199,,,,,0.8138992190361023,0.39962154626846313
4,249,,,0.95660400390625,0.08769615739583969,,
4,249,,,,,0.7970287203788757,0.4171863794326782
5,299,,,0.9587432742118835,0.1181998997926712,,
5,299,,,,,0.8011236190795898,0.4232664704322815
6,349,,,0.9677878618240356,0.0639486089348793,,
6,349,,,,,0.8109045028686523,0.42080387473106384
7,399,,,0.9803968071937561,0.06087363511323929,,
7,399,,,,,0.7991031408309937,0.43043237924575806
8,449,,,0.9767700433731079,0.0936656966805458,,
8,449,,,,,0.8032855987548828,0.4289309084415436
9,499,,,0.9746605753898621,0.05189007893204689,,
9,499,,,,,0.8034483194351196,0.4298572838306427
10,549,,,0.9812076091766357,0.06811030954122543,,
10,549,,,,,0.8019613027572632,0.43238916993141174
11,599,,,0.9754353165626526,0.0805981233716011,,
11,599,,,,,0.7984951734542847,0.4367947280406952
12,649,,,0.9756760597229004,0.09647181630134583,,
12,649,,,,,0.8006113171577454,0.4356021285057068
13,699,,,0.9777973890304565,0.09412305057048798,,
13,699,,,,,0.800887405872345,0.4354003071784973
14,749,,,0.9832589030265808,0.07447642087936401,,
14,749,,,,,0.8008947372436523,0.4357112944126129
15,799,,,0.9701545238494873,0.05508774518966675,,
15,799,,,,,0.8009089827537537,0.4357570707798004
16,849,,,0.972655177116394,0.09781847149133682,,
16,849,,,,,0.8007683157920837,0.43606817722320557
17,899,,,0.9781219363212585,0.07171206921339035,,
17,899,,,,,0.8008387684822083,0.4359477758407593
18,949,,,0.9786995053291321,0.061996813863515854,,
18,949,,,,,0.8005021810531616,0.43653538823127747
19,999,,,0.9779260158538818,0.04764210432767868,,
19,999,,,,,0.8005940318107605,0.4363649785518646
20,1049,,,0.9778357744216919,0.06969115883111954,,
20,1049,,,,,0.8007800579071045,0.4363037645816803
21,1099,,,0.9695828557014465,0.10880125313997269,,
21,1099,,,,,0.8005412817001343,0.43647292256355286
22,1149,,,0.9706434607505798,0.0846138745546341,,
22,1149,,,,,0.8006837368011475,0.436395525932312
23,1199,,,0.9713287353515625,0.06042651832103729,,
23,1199,,,,,0.8007708787918091,0.4363998770713806
24,1249,,,0.9768720865249634,0.10199630260467529,,
24,1249,,,,,0.8006799221038818,0.4365197420120239
25,1299,,,0.9790040850639343,0.05534634366631508,,
25,1299,,,,,0.8006871342658997,0.43651601672172546
26,1349,,,0.9782944321632385,0.04823880270123482,,
26,1349,,,,,0.8006699085235596,0.43651795387268066
27,1399,,,0.98016357421875,0.06198979541659355,,
27,1399,,,,,0.8007134795188904,0.4365226924419403
28,1449,,,0.9813961982727051,0.06095460429787636,,
28,1449,,,,,0.8007028102874756,0.43651533126831055
29,1499,,,0.9801347255706787,0.07056759297847748,,
29,1499,,,,,0.8007020950317383,0.43652793765068054
30,1549,,,0.9713620543479919,0.06037916988134384,,
30,1549,,,,,0.800692081451416,0.43653035163879395
31,1599,,,0.9754564762115479,0.08104681968688965,,
31,1599,,,,,0.8006986379623413,0.43653401732444763
