epoch,step,test_dsc,test_loss,train_dsc,train_loss,val_dsc,val_loss
0,0,0.7459517121315002,0.5299233198165894,,,,
0,49,,,0.8735612034797668,0.3460509479045868,,
0,49,,,,,0.8456214070320129,0.3461160361766815
1,99,,,0.8802582621574402,0.3107548952102661,,
1,99,,,,,0.8084414005279541,0.372573584318161
2,149,,,0.9152482748031616,0.29866164922714233,,
2,149,,,,,0.8121398687362671,0.371224969625473
3,199,,,0.9124842286109924,0.2472868114709854,,
3,199,,,,,0.8129730820655823,0.3668249249458313
4,249,,,0.8967218995094299,0.26937752962112427,,
4,249,,,,,0.7932257056236267,0.3841923177242279
5,299,,,0.9203927516937256,0.2743929326534271,,
5,299,,,,,0.8077231645584106,0.3723430335521698
6,349,,,0.9270534515380859,0.27187201380729675,,
6,349,,,,,0.8230875730514526,0.3639926612377167
7,399,,,0.9360347390174866,0.341895192861557,,
7,399,,,,,0.8007591962814331,0.3792450726032257
8,449,,,0.9392102360725403,0.28522512316703796,,
8,449,,,,,0.8011828660964966,0.3790450394153595
9,499,,,0.9398288726806641,0.2906332314014435,,
9,499,,,,,0.7931989431381226,0.3851894736289978
10,549,,,0.9472340941429138,0.21406404674053192,,
10,549,,,,,0.791607677936554,0.38685542345046997
11,599,,,0.9459187984466553,0.29498016834259033,,
11,599,,,,,0.7976387143135071,0.38330382108688354
12,649,,,0.9373610615730286,0.304252564907074,,
12,649,,,,,0.7893032431602478,0.38963934779167175
13,699,,,0.9286304712295532,0.31806108355522156,,
13,699,,,,,0.7950239181518555,0.38548848032951355
14,749,,,0.942658543586731,0.2914786636829376,,
14,749,,,,,0.7908822894096375,0.3884600102901459
15,799,,,0.9433618187904358,0.28500252962112427,,
15,799,,,,,0.7947118878364563,0.3855137825012207
16,849,,,0.9326753616333008,0.2882945239543915,,
16,849,,,,,0.7942878603935242,0.3858843743801117
17,899,,,0.9401648044586182,0.2276064157485962,,
17,899,,,,,0.7964680790901184,0.3845460116863251
