avg_val_dsc,avg_val_loss,epoch,step,train_dsc,train_loss,val_dsc,val_loss
,,0,49,0.89532470703125,0.29008060693740845,,
0.8758583664894104,0.32528531551361084,0,49,,,0.8758583664894104,0.32528531551361084
