avg_val_dsc,avg_val_loss,epoch,step,train_dsc,train_loss,val_dsc,val_loss
,,0,49,0.8715929985046387,0.3170539438724518,,
0.8696784377098083,0.32717278599739075,0,49,,,0.8696784377098083,0.32717278599739075
