epoch,step,train_dsc,train_loss,val_dsc,val_loss
0,49,0.11538077145814896,1.6104819774627686,,
0,49,,,0.10672512650489807,1.5999325513839722
1,99,0.11971677094697952,1.0453909635543823,,
1,99,,,0.15498174726963043,1.004059076309204
2,149,0.3303021192550659,0.7893480062484741,,
2,149,,,0.2828279733657837,0.8047469258308411
3,199,0.3701860308647156,0.7224664688110352,,
3,199,,,0.28935492038726807,0.7301405072212219
4,249,0.5405145287513733,0.6187834143638611,,
4,249,,,0.5441495180130005,0.6414114236831665
