epoch,step,test_dsc,test_loss,train_dsc,train_loss,val_dsc,val_loss
0,0,0.7459481358528137,0.529923141002655,,,,
0,49,,,0.7747620940208435,0.5142085552215576,,
0,49,,,,,0.7981665134429932,0.3763055205345154
1,99,,,0.869554877281189,0.48482826352119446,,
1,99,,,,,0.7778995633125305,0.3867519199848175
2,149,,,0.8755908608436584,0.4162624478340149,,
2,149,,,,,0.8117321133613586,0.36517325043678284
3,199,,,0.8922094106674194,0.3265748918056488,,
3,199,,,,,0.8006666898727417,0.3750830292701721
4,249,,,0.8743399381637573,0.41064077615737915,,
4,249,,,,,0.767249345779419,0.39547497034072876
5,299,,,0.8918226361274719,0.4505150616168976,,
5,299,,,,,0.7662418484687805,0.4014410078525543
6,349,,,0.8953709006309509,0.368692547082901,,
6,349,,,,,0.7545678019523621,0.4145066738128662
7,399,,,0.8839209079742432,0.3609701991081238,,
7,399,,,,,0.7197999358177185,0.44073328375816345
8,449,,,0.8964246511459351,0.3923487961292267,,
8,449,,,,,0.7731552124023438,0.39966556429862976
9,499,,,0.8999882340431213,0.3731234669685364,,
9,499,,,,,0.7562273740768433,0.4149104952812195
10,549,,,0.9192742109298706,0.27024614810943604,,
10,549,,,,,0.7423919439315796,0.4262280762195587
11,599,,,0.924134373664856,0.2605358362197876,,
11,599,,,,,0.7414856553077698,0.42691272497177124
12,649,,,0.9119371771812439,0.2870104908943176,,
12,649,,,,,0.7278966307640076,0.4381042420864105
13,699,,,0.9177696704864502,0.33597174286842346,,
13,699,,,,,0.7305432558059692,0.43635454773902893
14,749,,,0.9258915781974792,0.25081777572631836,,
14,749,,,,,0.744147539138794,0.4252760410308838
15,799,,,0.9340147376060486,0.35998591780662537,,
15,799,,,,,0.7342725992202759,0.43305084109306335
16,849,,,0.9340333938598633,0.4964090585708618,,
16,849,,,,,0.7329334020614624,0.4346075654029846
17,899,,,0.9179880619049072,0.38436925411224365,,
17,899,,,,,0.7321463227272034,0.43566998839378357
18,949,,,0.9283258318901062,0.3035256266593933,,
18,949,,,,,0.732947587966919,0.43516653776168823
19,999,,,0.9268063902854919,0.4271048307418823,,
