epoch,step,test_dsc,test_loss,train_dsc,train_loss,val_dsc,val_loss
0,0,0.7459457516670227,0.5299233198165894,,,,
0,49,,,0.8224892616271973,0.5132463574409485,,
0,49,,,,,0.8072956204414368,0.3784625232219696
1,99,,,0.8560664057731628,0.40823835134506226,,
1,99,,,,,0.8248628377914429,0.36918115615844727
2,149,,,0.8246526718139648,0.48076146841049194,,
2,149,,,,,0.8176664113998413,0.3780615031719208
3,199,,,0.8425965905189514,0.598859429359436,,
3,199,,,,,0.8032320737838745,0.384283185005188
4,249,,,0.8737562894821167,0.3462565243244171,,
4,249,,,,,0.7966369986534119,0.3878646492958069
5,299,,,0.8706440329551697,0.5422664880752563,,
5,299,,,,,0.7633776664733887,0.41377949714660645
6,349,,,0.800775408744812,0.5702233910560608,,
6,349,,,,,0.7948351502418518,0.3891119360923767
7,399,,,0.8550888895988464,0.4290250241756439,,
7,399,,,,,0.8054602146148682,0.39137622714042664
8,449,,,0.8658875226974487,0.3638101816177368,,
8,449,,,,,0.7851361632347107,0.3950364887714386
9,499,,,0.8515808582305908,0.3843812346458435,,
9,499,,,,,0.7844014167785645,0.3942289352416992
10,549,,,0.8977460265159607,0.3571779131889343,,
10,549,,,,,0.794943630695343,0.3879837393760681
11,599,,,0.8990861773490906,0.46830397844314575,,
11,599,,,,,0.7961112856864929,0.3881392478942871
12,649,,,0.8691985607147217,0.4291974604129791,,
12,649,,,,,0.7909483313560486,0.3903251886367798
13,699,,,0.8983575105667114,0.36849188804626465,,
13,699,,,,,0.7773537635803223,0.4001101553440094
14,749,,,0.8996597528457642,0.28192031383514404,,
14,749,,,,,0.784552812576294,0.39553526043891907
15,799,,,0.9088197946548462,0.3665911555290222,,
15,799,,,,,0.7846629023551941,0.39542877674102783
16,849,,,0.8327555656433105,0.3894941508769989,,
16,849,,,,,0.7812984585762024,0.39751461148262024
17,899,,,0.9032114744186401,0.4699110984802246,,
17,899,,,,,0.7792312502861023,0.3986811637878418
18,949,,,0.924074113368988,0.44332221150398254,,
